ts,open,high,low,close,volume
2025-11-05,28162.0,28202.0,27414.0,28045.0,331220
2025-11-06,28045.0,28158.0,27725.0,27731.0,273050
2025-11-07,27733.0,27837.0,27286.0,27307.0,340740
2025-11-08,27306.0,27558.0,27155.0,27553.0,72508
2025-11-10,27765.0,28038.0,27716.0,27849.0,205754
2025-11-11,27849.0,28180.0,27702.0,27789.0,270660
2025-11-12,27789.0,28176.0,27775.0,28012.0,223888
2025-11-13,28011.0,28098.0,27657.0,27694.0,271462
2025-11-14,27693.0,27705.0,26954.0,27481.0,363511
2025-11-15,27482.0,27600.0,27392.0,27495.0,54759
2025-11-17,27581.0,27692.0,27258.0,27387.0,264314
2025-11-18,27385.0,27496.0,26695.0,26808.0,356040
